	A-ID	BIOLOGY1	BIOLOGY2	BIOLOGY_prac	CHEMISTRY1	CHEMISTRY2	CHEMISTRY_prac	ENGLISH1	ENGLISH2	ISLAMIYAT1	ISLAMIYAT2	MATHEMATICS1	MATHEMATICS2	PAKSTUDIES1	PAKSTUDIES2	PHYSICS1	PHYSICS2	PHYSICS_prac	URDU1	URDU2
1	801392	28	42	0.0	29	31	0.0	31	20.0	35	23	33	27	37	27.0	39	13	0.0	46	56
2	801408	38	47	23.0	27	39	23.0	46	49.0	31	42	26	66	32	38.0	47	39	27.0	44	54
3	801409	25	24	25.0	21	20	25.0	34	34.0	35	32	30	40	24	35.0	31	11	26.0	46	50
4	801410	22	26	0.0	37	45	0.0	57	38.0	37	42	39	35	30	43.0	36	58	0.0	46	52
5	801412	44	54	25.0	48	51	28.0	63	61.0	48	49	66	73	39	43.0	54	52	26.0	57	66
6	801414	39	44	24.0	45	37	24.0	44	50.0	37	45	48	67	31	31.0	43	42	25.0	53	60
7	801416	32	52	23.0	35	36	24.0	46	47.0	33	46	26	70	28	36.0	47	46	26.0	50	56
8	801418	33	51	24.0	30	43	23.0	52	42.0	44	41	36	64	29	40.0	47	39	25.0	51	57
9	801420	39	46	26.0	33	43	24.0	37	29.0	40	45	35	66	34	32.0	48	40	26.0	57	58
10	801421	42	54	25.0	40	49	23.0	50	53.0	44	47	27	73	37	41.0	48	43	25.0	57	59
11	801423	34	53	25.0	32	50	23.0	43	42.0	38	47	41	68	34	40.0	38	42	26.0	54	46
12	801425	31	44	24.0	35	41	24.0	47	32.0	39	44	38	61	31	37.0	34	45	25.0	43	53
13	801427	33	38	24.0	26	50	24.0	29	36.0	33	42	54	71	26	36.0	46	43	26.0	49	53
14	801429	36	43	25.0	33	49	24.0	48	46.0	40	50	41	71	37	41.0	40	38	25.0	47	51
15	801437	21	24	23.0	33	31	21.0	34	25.0	42	36	27	25	34	34.0	21	22	25.0	46	45
17	801453	34	30	26.0	48	33	10.0	49	37.0	41	31	43	66	23	31.0	33	33	22.0	48	55
22	801471	31	44	29.0	21	35	21.0	43	42.0	39	39	28	62	32	35.0	38	36	29.0	54	60
25	801478	30	32	25.0	31	21	12.0	38	28.0	48	42	28	40	27	27.0	29	26	23.0	51	60
29	801486	22	33	23.0	31	27	13.0	42	32.0	47	38	30	60	26	34.0	37	33	25.0	43	53
31	801490	27	46	25.0	26	44	14.0	37	39.0	46	43	31	70	23	42.0	30	40	24.0	46	58
32	801492	29	39	25.0	21	29	15.0	35	27.0	28	42	12	61	26	40.0	37	28	24.0	51	56
34	801494	29	32	25.0	16	22	13.0	38	38.0	38	45	37	68	22	41.0	28	31	23.0	46	57
35	801495	33	47	28.0	30	24	17.0	56	58.0	46	45	26	50	32	41.0	51	30	27.0	59	64
37	801498	43	46	30.0	37	33	13.0	56	52.0	47	48	27	63	34	46.0	44	41	26.0	56	67
38	801500	32	43	27.0	41	38	16.0	37	63.0	32	47	36	62	38	45.0	37	34	24.0	56	70
39	801501	29	33	24.0	29	26	14.0	51	54.0	35	41	25	53	27	46.0	37	25	21.0	51	64
40	801502	50	53	30.0	54	46	13.0	64	57.0	48	48	56	72	42	47.0	51	51	26.0	63	67
41	801504	33	45	29.0	31	34	16.0	58	44.0	44	43	25	73	36	45.0	45	28	24.0	60	64
44	801508	48	49	28.0	48	46	18.0	56	55.0	45	50	28	67	39	48.0	51	39	25.0	61	64
45	801509	43	58	22.0	35	45	12.0	51	44.0	37	50	34	53	37	49.0	40	42	24.0	57	65
47	801511	48	54	29.0	39	55	20.0	60	68.0	41	50	53	71	42	49.0	56	48	25.0	65	69
49	801515	28	48	26.0	20	35	18.0	36	30.0	18	48	28	67	37	42.0	31	26	25.0	62	57
51	801520	29	32	22.0	22	23	10.0	34	26.0	28	44	19	64	18	37.0	23	22	21.0	32	60
52	801523	32	37	22.0	33	24	10.0	36	39.0	31	47	25	67	31	40.0	33	29	23.0	45	52
53	801526	32	38	24.0	31	34	11.0	49	33.0	39	45	28	66	27	35.0	40	48	22.0	49	58
55	801557	20	30	27.0	23	20	20.0	41	21.0	38	48	54	54	36	39.0	23	31	28.0	62	61
56	801559	48	52	27.0	44	45	23.0	62	55.0	41	49	49	69	43	49.0	57	52	27.0	69	66
57	801561	28	37	30.0	38	29	24.0	62	48.0	40	47	42	67	38	42.0	45	46	23.0	62	63
58	801563	40	52	27.0	40	36	26.0	48	51.0	35	48	25	66	41	44.0	44	43	26.0	58	61
