	A-ID	BIOLOGY1	BIOLOGY2	BIOLOGY_prac	CHEMISTRY1	CHEMISTRY2	CHEMISTRY_prac	ENGLISH1	ENGLISH2	ISLAMIYAT1	ISLAMIYAT2	MATHEMATICS1	MATHEMATICS2	PAKSTUDIES1	PAKSTUDIES2	PHYSICS1	PHYSICS2	PHYSICS_prac	URDU1	URDU2
162	801591	 33	 31	 22	 13	 25	 13	 38	 18	 30	 40	 10	 26	 32	 26	 27	 25	 25	 50	 49
163	801593	 40	 32	 23		 36	 14	 30	 20	 29	 46		 56	 35	 34	 32	 37	 24	 59	 62
241	801763	 23		 23	 25	 37	 13	 57	 44	 43	 30	 26	 69	 30	 39	 26	 32	 27	 41	 54
254	801812	 20		 30	 21	 21	 29	 48	 39	 39	 38	 44	 46	 33	 37	 20	 38	 27	 56	 56
456	802045	 20		 19	 40	 27	 24	 40	 20	 40	 32	 33	 38	 25	 28	 37	 20	 25	 54	 50
868	802548	 35	 22	 26	 16	 21	 26	 26	 11	 27	 32	 25	 60	 29	 17	 24	 31	 26	 44	 45
946	802670	 20	 20	 22	 20	 16	 27	 14	 17	 22	 35	 32	 25	 25	 31	 20	 18	 25	 45	 40
1016	802758	 25		 25	 27	 21	 20	 34	 39	 29	 24	 25	 17	 17	 36	 20	 20	 25	 52	 48
1210	803078	 27	 20	 19	 28		 18	 27	 28	 24	 25		 10	 44	 25	 32	 20	 21	 50	 44
1211	803079	 28	 28	 20	 20	 20	 21	 25	 16	 28	 41	 17	 20	 30	 21	 15	 31	 21	 47	 56
1226	803102	 14	 28	 23	 33	 25	 18	 45	 35	 32	 29	 15	 20	 33	 40	 36	 37	 21	 45	 49
1228	803104	 20	 25	 24	 15	 25	 20	 36	 25	 38	 37	 14		 17	 27		 30	 15	 48	 46
1239	803121	 16	 31	 28	 32	 21	 18	 25	 49	 23	 45	 14	 19	 28		 35	 36	 21	 43	 46
1310	803226	 11	 12	 29	 15	 27	 22	 33	 34	 26	 43	 17	 36	 26	 29	 23	 29	 29	 49	 60
1311	803227	 12	 10	 21	 23	 13	 20	 15	 32	 46	 45	 10	 19	 22	 17	 11	 12	 26	 46	 54
1312	803228	 20		 23	 22	 12	 26	 31	 41	 45	 44	 27	 25	 25	 17	 22	 16	 23	 53	 55
1317	803235	 21	 20	 21	 20		 23	 27	 41	 40	 26	 28	 26	 23	 26	 23	 27	 22	 46	 55
1339	803269	 14		 22		 28	 19	 44	 37	 31	 30	 25	 42	 22	 24	 20	 20	 25	 51	 60
1343	803275	 27	 29	 24	 31	 23	 20	 37	 60	 22	 39		 25	 31	 25	 20	 30	 25	 51	 52
1344	803286	 15		 14	 21		 24	 25	 25	 38	 30	 15	 25	 25	 18	 20	 16	 24	 41	 37
1359	803324	 12	 12	 24	 15	 22	 23	 10		 35	 31		 28	 32	 19	 10	 13	 24	 46	 48
1366	803338	 29		 13	 30	 20	 28	 25	 12	 30	 28	 40	 19	 24	 28	 37	 11	 25	 54	 50
1378	803383	 22	 22	 23	 31		 27	 14	 19	 35	 26	 25	 38	 39	 17	 20	 31	 23	 50	 44
1398	803412	 12		 24	 20		 29	 47	 32	 20	 21		 25		 24	 33	 14	 24	 39	 47
1399	803413	 10	 12	 21	 29		 25	 27	 37	 40	 41	 19	 38	 30	 20	 21	 21	 23	 50	 57
1400	803414	 12	 16	 24	 23		 29	 26	 19	 20	 32		 26	 19	 21	 25	 20	 23	 40	 52
1417	803437			 15	 23		 21	 28	 29	 44	 43			 17		 22		 23	 45	 50
1425	803448		 13	 21	 30	 20	 25	 27	 34	 43	 45	 28	 37	 28	 31	 24	 28	 23	 53	 58
1431	803460		 12	 23	 24		 23	 26	 14	 41	 41		 39	 28	 19	 24	 30	 23	 36	 44
1447	803489	 15	 13	 16	 25	 15	 19	 32	 40	 41	 43	 26	 50	 28	 31	 20	 21	 24	 56	 56
1449	803491	 12	 13	 19	 20	 14	 24	 30	 20	 37	 26		 50		 18	 23	 20	 28	 30	 46
1454	803499	 24		 18	 21	 15	 21	 47	 26	 31	 44	 14	 40	 38	 33	 30	 26	 25	 55	 62
1457	803503	 13	 11	 19	 14	 15	 30	 37	 19	 26	 44	 12	 34	 17	 29	 20	 24	 26	 53	 61
1460	803507	 20	 10	 19	 20	 16	 22	 34	 15	 23	 35	 31	 41	 18	 30			 25	 54	 53
1462	803509	 15	 17	 19		 22	 22	 39	 19	 30	 31	 16	 42	 34	 26	 24	 24	 25	 49	 49
1465	803513	 23	 12	 22		 16	 24	 32	 27	 36	 45	 10	 26	 37	 29	 10	 22	 25	 52	 48
1517	803636	 30	 26	 20	 24	 23	 20	 27	 18	 35	 34		 26	 24	 31	 27	 27	 19	 42	 49
1518	803641	 40	 20	 17	 23	 20	 17	 35	 38	 31	 31	 16	 14	 22	 29	 20	 23	 17	 46	 35
1519	803642	 22	 16	 17		 22	 17	 25	 14	 33	 21	 32	 43	 22	 23	 20	 25	 18	 39	 33
1520	803644	 17	 13	 17	 21	 20	 13	 25	 26	 18	 24	 17	 25	 18	 10	 22	 22	 22	 31	 25
