	A-ID	CHEMISTRY1	CHEMISTRY2	CHEMISTRY_prac	COMPUTERSCIENCE1	COMPUTERSCIENCE2	COMPUTER_prac	ENGLISH1	ENGLISH2	ISLAMIYAT1	ISLAMIYAT2	MATHEMATICS1	MATHEMATICS2	PAKSTUDIES1	PAKSTUDIES2	PHYSICS1	PHYSICS2	PHYSICS_prac	URDU1	URDU2
0	801390	53	53	22.0	45.0	42	50.0	71	72.0	48	45	49	72.0	44	43.0	55.0	50.0	26.0	62	64
16	801451	42	47	24.0	37.0	46	43.0	62	67.0	38	45	58	71.0	39	30.0	43.0	54.0	28.0	53	54
18	801455	39	32	20.0	47.0	37	39.0	46	52.0	43	45	37	68.0	43	33.0	43.0	46.0	28.0	60	53
19	801459	20	22	17.0	20.0	31	30.0	54	43.0	38	39	32	58.0	38	27.0	37.0	36.0	25.0	47	53
20	801463	24	29	19.0	19.0	26	31.0	43	42.0	42	45	29	59.0	36	30.0	20.0	33.0	25.0	48	49
21	801467	26	24	18.0	31.0	27	33.0	43	35.0	30	46	36	56.0	34	23.0	23.0	27.0	25.0	33	53
23	801474	25	26	12.0	42.0	25	40.0	41	28.0	29	30	40	63.0	29	25.0	40.0	41.0	22.0	57	52
24	801475	43	45	18.0	42.0	44	42.0	57	60.0	37	38	26	63.0	41	25.0	35.0	46.0	25.0	44	58
26	801479	34	53	18.0	36.0	40	44.0	51	49.0	41	46	38	59.0	34	28.0	42.0	47.0	23.0	46	51
27	801482	20	23	12.0	44.0	13	39.0	36	25.0	31	24	32	49.0	25	20.0	31.0	29.0	20.0	46	48
28	801483	36	25	15.0	27.0	29	41.0	56	49.0	43	39	44	64.0	38	23.0	43.0	36.0	27.0	49	55
30	801487	36	27	18.0	32.0	34	31.0	42	36.0	38	38	42	68.0	35	27.0	44.0	28.0	25.0	45	61
33	801493	29	21	10.0	32.0	9	38.0	44	25.0	36	46	20	43.0	25	34.0	23.0	22.0	21.0	37	59
36	801496	31	20	10.0	24.0	13	36.0	29	25.0	45	44	17	38.0	18	35.0	23.0	23.0	22.0	57	66
42	801505	27	22	14.0	36.0	25	37.0	32	29.0	37	43	16	50.0	27	33.0	21.0	27.0	21.0	51	57
43	801506	39	35	13.0	25.0	32	41.0	37	39.0	37	45	36	68.0	39	33.0	47.0	46.0	27.0	55	63
46	801510	37	16	13.0	30.0	12	33.0	30	25.0	34	36	25	60.0	24	33.0	27.0	21.0	22.0	54	57
48	801514	42	23	10.0	33.0	12	37.0	27	25.0	31	37	19	65.0	22	36.0	25.0	15.0	22.0	37	52
50	801517	37	41	10.0	42.0	19	37.0	46	29.0	34	38	28	73.0	32	33.0	38.0	30.0	22.0	53	60
54	801529	32	33	11.0	46.0	18	38.0	34	39.0	34	43	32	39.0	30	38.0	41.0	26.0	20.0	42	49
79	801600	42	41	19.0	42.0	30	37.0	52	47.0	38	39	33	59.0	36	35.0	37.0	42.0	27.0	48	57
80	801601	33	36	20.0	29.0	25	31.0	35	40.0	45	43	38	57.0	36	32.0	32.0	43.0	29.0	44	58
85	801606	25	45	18.0	24.0	30	33.0	45	48.0	34	46	43	67.0	32	27.0	42.0	38.0	28.0	40	52
86	801607	44	45	19.0	27.0	40	33.0	53	45.0	43	46	47	70.0	42	30.0	40.0	39.0	27.0	41	52
87	801627	39	49	19.0	37.0	31	36.0	52	58.0	39	45	32	67.0	38	33.0	39.0	41.0	26.0	46	59
88	801628	27	43	19.0	27.0	27	33.0	54	60.0	40	46	34	52.0	38	30.0	42.0	46.0	25.0	45	59
89	801629	20	43	17.0	26.0	17	37.0	36	50.0	35	42	32	43.0	41	34.0	35.0	41.0	26.0	44	58
93	801633	22	27	21.0	21.0	17	30.0	25	41.0	28	38	30	38.0	26	25.0	20.0	24.0	26.0	30	44
94	801634	33	40	22.0	42.0	33	37.0	54	60.0	44	45	42	65.0	43	33.0	38.0	45.0	26.0	48	59
95	801635	28	40	23.0	41.0	38	32.0	52	61.0	40	44	30	65.0	41	31.0	37.0	40.0	27.0	42	58
96	801636	27	38	21.0	23.0	35	33.0	51	51.0	38	44	25	41.0	39	32.0	30.0	34.0	25.0	51	52
98	801638	50	41	19.0	38.0	42	43.0	67	62.0	47	47	61	72.0	42	38.0	49.0	52.0	27.0	45	60
100	801640	29	42	15.0	38.0	27	38.0	60	65.0	44	49	58	59.0	34	39.0	37.0	49.0	30.0	60	59
107	801654	19	25	0.0	25.0	35	0.0	39	19.0	43	43	53	51.0	35	41.0	25.0	33.0	0.0	48	42
111	801660	32	57	22.0	41.0	45	43.0	64	63.0	44	46	25	72.0	40	41.0	37.0	46.0	27.0	57	60
124	801680	28	37	23.0	21.0	25	34.0	28	48.0	39	46	25	53.0	24	36.0	21.0	30.0	25.0	42	55
129	801685	26	45	21.0	39.0	27	39.0	50	59.0	40	46	45	70.0	38	41.0	38.0	42.0	27.0	61	61
132	801689	35	48	16.0	41.0	46	41.0	46	63.0	41	44	26	73.0	35	44.0	38.0	44.0	29.0	61	61
135	801693	21	36	15.0	36.0	40	36.0	52	55.0	40	42	52	63.0	36	36.0	25.0	28.0	29.0	58	55
141	801715	31	55	12.0	39.0	38	33.0	50	62.0	38	47	49	73.0	39	34.0	45.0	37.0	26.0	47	58
142	801719	20	37	11.0	25.0	21	31.0	47	46.0	43	33	25	68.0	27	20.0	24.0	25.0	28.0	44	44
143	801723	39	57	13.0	43.0	35	36.0	50	57.0	44	42	44	72.0	36	36.0	45.0	45.0	28.0	48	56
144	801726	23	56	15.0	33.0	40	32.0	54	61.0	42	46	50	70.0	37	29.0	37.0	37.0	29.0	49	51
145	801729	22	51	14.0	21.0	30	34.0	48	55.0	29	41	54	61.0	31	36.0	20.0	35.0	30.0	36	58
146	801732	20	52	14.0	36.0	39	42.0	50	64.0	43	46	39	64.0	37	40.0	32.0	46.0	27.0	49	60
148	801737	25	51	12.0	32.0	38	39.0	58	63.0	38	47	34	66.0	38	36.0	37.0	50.0	27.0	44	58
149	801739	40	54	15.0	41.0	37	43.0	62	64.0	47	48	45	71.0	40	41.0	41.0	52.0	28.0	52	60
150	801741	27	47	15.0	25.0	41	34.0	50	62.0	32	46	38	68.0	37	40.0	30.0	41.0	26.0	34	51
151	801743	30	52	14.0	29.0	45	36.0	55	67.0	45	47	55	75.0	38	43.0	28.0	48.0	26.0	52	55
152	801745	29	31	14.0	26.0	31	36.0	51	57.0	33	48	35	48.0	26	37.0	20.0	20.0	26.0	32	53
153	801747	23	38	13.0	19.0	25	38.0	37	52.0	32	44	35	57.0	22	33.0	20.0	29.0	26.0	37	41
154	801749	41	43	11.0	29.0	36	35.0	44	57.0	42	41	25	51.0	38	32.0	39.0	30.0	25.0	58	41
155	801751	30	39	12.0	25.0	32	39.0	52	58.0	37	43	36	68.0	35	35.0	26.0	35.0	25.0	45	51
156	801753	21	39	15.0	26.0	32	39.0	43	59.0	40	44	30	68.0	34	31.0	20.0	36.0	26.0	46	47
158	801756	26	51	16.0	38.0	37	33.0	50	61.0	40	47	60	67.0	40	39.0	33.0	46.0	26.0	61	56
160	801758	35	45	17.0	45.0	27	31.0	48	64.0	48	47	25	68.0	37	41.0	37.0	44.0	28.0	65	59
162	801760	21	45	16.0	42.0	31	30.0	49	56.0	38	41	40	71.0	31	33.0	38.0	37.0	27.0	58	53
164	801762	24	32	16.0	20.0	27	31.0	40	52.0	41	47	48	58.0	33	41.0	31.0	25.0	23.0	49	54
165	801764	22	40	16.0	36.0	45	33.0	56	68.0	37	34	41	67.0	30	32.0	31.0	38.0	24.0	56	47
188	801789	33	30	19.0	37.0	40	36.0	51	69.0	45	43	50	50.0	39	39.0	37.0	42.0	29.0	47	59
191	801792	20	23	18.0	28.0	37	36.0	34	54.0	39	41	47	51.0	24	34.0	20.0	24.0	29.0	46	55
192	801793	29	33	15.0	26.0	36	37.0	38	49.0	42	46	47	69.0	33	31.0	20.0	39.0	27.0	43	58
193	801794	21	30	18.0	33.0	25	38.0	33	45.0	40	46	56	69.0	24	37.0	25.0	40.0	26.0	53	48
194	801795	35	46	15.0	20.0	37	37.0	42	58.0	46	49	62	73.0	29	39.0	32.0	49.0	28.0	56	56
195	801806	48	59	23.0	47.0	48	46.0	66	70.0	43	49	62	75.0	41	46.0	52.0	59.0	23.0	71	61
196	801807	40	43	15.0	28.0	42	38.0	61	68.0	45	48	30	74.0	40	43.0	31.0	44.0	26.0	55	59
198	801809	28	20	17.0	36.0	18	34.0	35	38.0	38	43	53	42.0	30	37.0	31.0	38.0	27.0	60	48
203	801815	21	39	16.0	28.0	36	37.0	53	56.0	42	47	25	72.0	33	43.0	36.0	52.0	27.0	51	51
206	801824	23	32	19.0	35.0	41	40.0	38	60.0	40	49	49	65.0	28	43.0	31.0	39.0	26.0	64	58
207	801825	38	55	19.0	45.0	38	41.0	60	71.0	45	49	38	72.0	44	44.0	41.0	48.0	26.0	63	62
208	801826	33	39	20.0	33.0	34	36.0	37	57.0	41	46	25	50.0	31	39.0	36.0	47.0	26.0	56	51
209	801860	50	35	25.0	41.0	35	27.0	61	51.0	35	35	39	44.0	39	27.0	44.0	27.0	24.0	58	49
210	801864	43	12	22.0	41.0	37	32.0	46	41.0	38	35	41	58.0	40	25.0	43.0	35.0	25.0	56	47
211	801868	45	25	27.0	33.0	19	27.0	53	46.0	37	34	41	47.0	33	31.0	53.0	23.0	22.0	55	53
214	802017	52	57	24.0	39.0	46	39.0	45	60.0	47	47	60	75.0	43	42.0	56.0	51.0	26.0	56	56
216	802021	43	20	26.0	35.0	33	45.0	45	34.0	41	37	28	34.0	44	34.0	50.0	11.0	28.0	47	38
217	802022	50	48	25.0	34.0	44	42.0	54	62.0	46	42	48	73.0	47	38.0	53.0	53.0	25.0	59	57
218	802023	50	48	26.0	32.0	41	40.0	44	57.0	46	47	48	73.0	47	41.0	51.0	47.0	26.0	55	58
220	802026	45	47	26.0	37.0	36	33.0	28	48.0	46	36	44	71.0	40	35.0	54.0	42.0	25.0	53	47
221	802027	49	32	26.0	43.0	36	42.0	46	34.0	43	39	32	50.0	38	41.0	50.0	37.0	23.0	59	47
223	802030	46	39	23.0	37.0	34	38.0	52	44.0	45	38	33	45.0	40	41.0	42.0	27.0	24.0	62	50
226	802035	44	54	23.0	29.0	46	33.0	43	57.0	46	41	57	73.0	42	40.0	51.0	54.0	24.0	57	54
227	802038	47	57	21.0	31.0	45	39.0	39	61.0	45	45	33	72.0	45	39.0	53.0	45.0	26.0	55	57
229	802039	49	57	26.0	36.0	42	38.0	48	58.0	36	46	46	69.0	38	40.0	53.0	50.0	22.0	54	57
231	802041	48	20	27.0	29.0	17	40.0	53	33.0	36	36	36	34.0	39	38.0	55.0	22.0	26.0	60	53
232	802047	47	48	28.0	41.0	37	42.0	52	46.0	33	39	38	27.0	25	35.0	39.0	32.0	28.0	49	51
233	802049	55	48	28.0	38.0	41	40.0	48	57.0	47	47	50	58.0	39	35.0	53.0	37.0	26.0	62	61
236	802055	56	33	27.0	44.0	42	39.0	60	52.0	37	41	44	38.0	33	31.0	36.0	30.0	26.0	60	47
237	802057	53	21	25.0	35.0	19	37.0	59	15.0	39	32	55	41.0	33	38.0	43.0	21.0	27.0	56	38
238	802059	56	53	28.0	36.0	41	43.0	57	58.0	47	46	60	70.0	37	38.0	54.0	43.0	26.0	60	56
239	802061	46	44	24.0	32.0	27	42.0	50	53.0	46	42	52	44.0	41	37.0	50.0	30.0	24.0	66	55
240	802063	27	38	22.0	33.0	24	37.0	59	30.0	43	45	47	44.0	38	25.0	46.0	26.0	25.0	52	46
241	802065	41	28	22.0	28.0	32	41.0	56	47.0	43	42	47	14.0	39	37.0	46.0	30.0	24.0	53	56
242	802077	25	27	22.0	17.0	23	26.0	33	31.0	42	41	13	58.0	35	36.0	20.0	33.0	18.0	55	45
243	802092	47	52	27.0	45.0	45	43.0	56	55.0	41	47	43	55.0	43	41.0	48.0	34.0	24.0	62	60
244	802094	43	42	24.0	42.0	36	40.0	50	15.0	37	39	41	67.0	38	40.0	43.0	33.0	24.0	52	51
245	802096	45	42	24.0	46.0	34	35.0	59	48.0	47	43	41	65.0	37	41.0	45.0	38.0	24.0	61	53
248	802101	37	29	20.0	41.0	29	33.0	51	36.0	50	46	39	31.0	42	41.0	48.0	31.0	18.0	57	52
249	802104	44	20	27.0	39.0	30	43.0	47	37.0	40	44	37	31.0	38	34.0	34.0	27.0	21.0	57	48
251	802108	54	51	29.0	40.0	37	37.0	60	57.0	46	46	41	62.0	43	42.0	53.0	37.0	26.0	61	56
252	802110	43	31	20.0	32.0	19	29.0	50	25.0	41	42	36	64.0	38	40.0	40.0	35.0	21.0	55	50
253	802112	55	42	25.0	37.0	37	40.0	50	38.0	43	43	36	64.0	37	42.0	48.0	38.0	25.0	60	57
254	802114	59	60	29.0	43.0	49	47.0	65	66.0	49	48	69	75.0	44	43.0	59.0	58.0	26.0	65	66
255	802116	59	56	27.0	46.0	48	45.0	62	61.0	47	48	61	75.0	43	38.0	59.0	46.0	24.0	64	59
257	802120	52	17	25.0	40.0	29	42.0	46	44.0	36	36	39	41.0	41	41.0	50.0	16.0	23.0	53	50
260	802146	30	34	27.0	32.0	21	30.0	37	29.0	42	38	28	42.0	38	39.0	30.0	16.0	14.0	51	47
263	802174	38	29	25.0	40.0	30	28.0	49	51.0	45	38	33	44.0	42	41.0	50.0	29.0	16.0	55	43
265	802181	41	42	27.0	32.0	24	45.0	44	47.0	43	36	25	49.0	31	43.0	49.0	36.0	27.0	57	44
267	802219	56	50	30.0	36.0	44	45.0	70	70.0	47	50	73	75.0	46	43.0	57.0	57.0	24.0	61	59
272	802231	59	54	25.0	42.0	45	45.0	68	67.0	47	50	59	70.0	46	43.0	57.0	54.0	24.0	61	65
275	802237	50	43	26.0	39.0	38	42.0	57	66.0	43	50	57	67.0	43	35.0	46.0	53.0	26.0	60	58
276	802239	50	36	25.0	37.0	26	42.0	63	64.0	46	50	42	43.0	44	26.0	52.0	40.0	23.0	47	57
286	802259	55	38	27.0	39.0	36	38.0	55	55.0	45	45	54	59.0	39	36.0	56.0	41.0	24.0	58	57
287	802261	46	33	27.0	38.0	28	38.0	60	53.0	47	42	56	48.0	37	35.0	53.0	32.0	24.0	57	54
288	802263	30	20	23.0	29.0	17	36.0	41	38.0	38	34	25	33.0	35	17.0	38.0	21.0	23.0	50	45
290	802269	23	23	20.0	41.0	23	44.0	51	29.0	42	37	36	44.0	42	13.0	30.0	24.0	24.0	52	50
293	802275	49	32	23.0	40.0	28	42.0	62	57.0	47	44	46	52.0	46	35.0	53.0	47.0	24.0	59	56
294	802308	48	45	28.0	36.0	42	38.0	64	53.0	45	48	62	66.0	44	41.0	56.0	47.0	23.0	54	60
296	802310	31	21	23.0	42.0	24	39.0	49	45.0	39	35	28	40.0	37	27.0	48.0	31.0	22.0	48	42
298	802312	58	46	27.0	43.0	32	41.0	53	61.0	48	49	61	75.0	47	45.0	53.0	54.0	24.0	61	59
300	802314	51	42	24.0	42.0	37	38.0	62	61.0	46	50	63	68.0	43	40.0	53.0	50.0	23.0	53	56
302	802316	47	39	25.0	35.0	34	35.0	53	51.0	46	47	31	61.0	39	33.0	45.0	50.0	18.0	57	50
305	802383	29	20	19.0	36.0	23	34.0	41	25.0	40	39	37	14.0	26	35.0	30.0	17.0	11.0	40	34
306	802404	20	39	20.0	27.0	19	35.0	31	15.0	37	43	14	36.0	23	40.0	28.0	29.0	12.0	35	37
307	802422	20	28	17.0	36.0	6	40.0	43	42.0	37	38	30	29.0	20	37.0	31.0	23.0	12.0	42	40
308	802470	23	43	21.0	37.0	33	42.0	47	50.0	38	46	32	63.0	35	33.0	32.0	36.0	12.0	54	42
310	802487	35	42	20.0	32.0	30	38.0	33	34.0	45	42	26	27.0	34	37.0	39.0	46.0	12.0	53	46
322	802547	25	22	26.0	24.0	24	47.0	31	39.0	30	35	25	57.0	32	34.0	26.0	38.0	25.0	44	46
323	802549	31	29	27.0	33.0	36	47.0	34	19.0	33	37	35	62.0	35	29.0	29.0	38.0	26.0	48	50
